Jerami Grant,"$9,346,153","$10,811,804"
Al-Farouq Aminu,"$9,258,000","$10,709,827"
Kyle Anderson,"$9,073,050","$10,495,873"
Taj Gibson,"$9,000,000","$10,411,367"
Ja Morant,"$8,730,240","$10,099,304"
Lonzo Ball,"$8,719,320","$10,086,672"
E'Twaun Moore,"$8,664,928","$10,023,750"
Marvin Bagley,"$8,556,120","$9,897,879"
Bogdan Bogdanovic,"$8,529,386","$9,866,952"
PJ Tucker,"$8,349,039","$9,658,324"
Cristiano Felicio,"$8,156,500","$9,435,591"
Kentavious Caldwell-Pope,"$8,139,282","$9,415,673"
Ben Simmons,"$8,113,929","$9,386,344"
Thomas Bryant,"$8,000,000","$9,254,549"
Wayne Ellington,"$8,000,000","$9,254,549"
Elfrid Payton,"$8,000,000","$9,254,549"
Louis Williams,"$8,000,000","$9,254,549"
Maxi Kleber,"$8,000,000","$9,254,549"
RJ Barrett,"$7,839,960","$9,069,411"
Jayson Tatum,"$7,830,000","$9,057,890"
Jae Crowder,"$7,815,533","$9,041,154"
Luka Doncic,"$7,683,360","$8,888,254"
Joe Harris,"$7,666,667","$8,868,943"
Seth Curry,"$7,461,380","$8,631,463"
DeMarre Carroll,"$7,339,258","$8,490,190"
Doug McDermott,"$7,333,333","$8,483,336"
Langston Galloway,"$7,333,333","$8,483,336"
Derrick Rose,"$7,317,074","$8,464,527"
Brandon Ingram,"$7,265,485","$8,404,848"
DJ Augustin,"$7,250,000","$8,386,935"
Darius Miller,"$7,250,000","$8,386,935"
De'Andre Hunter,"$7,068,360","$8,176,810"
Josh Jackson,"$7,059,480","$8,166,538"
Davis Bertans,"$7,000,000","$8,097,730"
Ersan Ilyasova,"$7,000,000","$8,097,730"
Jaren Jackson Jr,"$6,927,480","$8,013,838"
Nemanja Bjelica,"$6,825,000","$7,895,287"
Jaylen Brown,"$6,534,829","$7,559,612"
Jabari Parker,"$6,500,000","$7,519,321"
Ivica Zubac,"$6,481,482","$7,497,899"
Darius Garland,"$6,400,920","$7,404,703"
De'Aaron Fox,"$6,392,760","$7,395,264"
Trae Young,"$6,273,000","$7,256,723"
Ishmael Smith,"$6,000,000","$6,940,911"
Montrezl Harrell,"$6,000,000","$6,940,911"
Marco Belinelli,"$5,846,154","$6,762,939"
Jarrett Culver,"$5,813,640","$6,725,327"
Jonathan Isaac,"$5,806,440","$6,716,998"
Rodney Hood,"$5,718,000","$6,614,689"
Mo Bamba,"$5,697,600","$6,591,089"
Trey Lyles,"$5,500,000","$6,362,502"
Aron Baynes,"$5,453,280","$6,308,456"
Kris Dunn,"$5,348,007","$6,186,674"
Coby White,"$5,307,120","$6,139,375"
Lauri Markkanen,"$5,300,400","$6,131,601"
Wendell Carter,"$5,201,400","$6,017,076"
Luol Deng,"$5,000,000","$5,784,093"
Daniel Theis,"$5,000,000","$5,784,093"
Jaxson Hayes,"$4,862,040","$5,624,498"
Buddy Hield,"$4,861,207","$5,623,534"
Frank Ntilikina,"$4,855,800","$5,617,280"
Rodney McGruder,"$4,807,693","$5,561,628"
Ed Davis,"$4,767,000","$5,514,554"
Richaun Holmes,"$4,767,000","$5,514,554"
Frank Kaminsky,"$4,767,000","$5,514,554"
Mike Scott,"$4,767,000","$5,514,554"
Robin Lopez,"$4,767,000","$5,514,554"
Avery Bradley,"$4,767,000","$5,514,554"
JaMychal Green,"$4,767,000","$5,514,554"
Justin Holiday,"$4,767,000","$5,514,554"
Garrett Temple,"$4,767,000","$5,514,554"
Enes Kanter,"$4,767,000","$5,514,554"
Collin Sexton,"$4,764,960","$5,512,194"
Rui Hachimura,"$4,469,160","$5,170,007"
Kevon Looney,"$4,464,286","$5,164,369"
