Shaedon Sharpe,"$6,313,800","$6,614,160","$8,399,983","$11,264,377"
Otto Porter,"$6,300,000",$0,$0,$0
Deni Avdija,"$6,263,188","$8,486,619",$0,$0
Nassir Little,"$6,250,000","$6,750,000","$7,250,000","$7,750,000"
Jevon Carter,"$6,190,476","$6,500,000","$6,809,524",$0
Kenrich Williams,"$6,175,000","$6,669,000","$7,163,000","$7,163,000"
Ricky Rubio,"$6,146,342","$6,439,025",$0,$0
Jarace Walker,"$6,059,460","$6,362,433","$6,665,406","$8,478,396"
Jonathan Kuminga,"$6,012,840","$7,636,307","$10,240,287",$0
Devin Vassell,"$5,887,899","$8,060,534",$0,$0
Tyrese Haliburton,"$5,808,435","$35,750,000","$38,610,000","$41,470,000"
Dyson Daniels,"$5,784,120","$6,059,520","$7,707,709","$10,389,992"
JaVale McGee,"$5,734,280","$6,007,341",$0,$0
Kira Lewis,"$5,722,116","$7,913,686",$0,$0
Dean Wade,"$5,709,877","$6,166,667","$6,623,456",$0
Aaron Nesmith,"$5,634,257","$7,837,251",$0,$0
Taylor Hendricks,"$5,569,872","$5,848,366","$6,126,859","$7,805,619"
Cole Anthony,"$5,539,771","$7,744,600",$0,$0
Franz Wagner,"$5,508,720","$7,007,092","$9,445,560",$0
Furkan Korkmaz,"$5,370,370",$0,$0,$0
Jeremy Sochan,"$5,316,960","$5,570,040","$7,096,231","$9,615,393"
Cason Wallace,"$5,291,352","$5,555,920","$5,820,487","$7,421,121"
Isaiah Stewart,"$5,266,713","$15,000,000","$15,000,000","$15,000,000"
Chuma Okeke,"$5,266,712","$7,399,731",$0,$0
Davion Mitchell,"$5,063,640","$6,451,077","$8,741,210",$0
Johnny Davis,"$5,050,800","$5,291,160","$6,746,229","$9,188,364"
Jalen Smith,"$5,043,773","$5,417,386",$0,$0
Jett Howard,"$5,026,824","$5,278,165","$5,529,506","$7,337,655"
Aleksej Pokusevski,"$5,009,633","$7,073,602",$0,$0
Reggie Jackson,"$5,000,000","$5,250,000",$0,$0
Shake Milton,"$5,000,000","$5,000,000",$0,$0
Mason Plumlee,"$5,000,000",$0,$0,$0
Ziaire Williams,"$4,810,200","$6,133,005","$8,353,152",$0
Ousmane Dieng,"$4,798,440","$5,027,040","$6,670,882","$9,132,438"
Dereck Lively,"$4,775,628","$5,014,409","$5,253,191","$7,238,897"
Josh Green,"$4,765,339","$6,762,016",$0,$0
Jarred Vanderbilt,"$4,698,000",$0,$0,$0
Nickeil Alexander-Walker,"$4,687,500","$4,312,500",$0,$0
James Bouknight,"$4,570,080","$6,064,496","$8,302,295",$0
Jalen Williams,"$4,558,680","$4,775,760","$6,580,997","$9,055,452"
Saddiq Bey,"$4,556,983","$6,498,258",$0,$0
Gradey Dick,"$4,536,708","$4,763,543","$4,990,379","$7,131,251"
Jalen McDaniels,"$4,516,000","$4,741,800",$0,$0
Taurean Prince,"$4,516,000",$0,$0,$0
Precious Achiuwa,"$4,379,526","$6,275,861",$0,$0
Tyrese Maxey,"$4,343,920","$6,259,588",$0,$0
Josh Primo,"$4,341,600",$0,$0,$0
Jalen Duren,"$4,330,680","$4,536,840","$6,483,144","$8,966,189"
Danuel House,"$4,310,250",$0,$0,$0
Jordan Hawkins,"$4,310,196","$4,525,706","$4,741,216","$7,021,740"
Zeke Nnaji,"$4,306,281","$6,235,495",$0,$0
Immanuel Quickley,"$4,171,548","$6,128,004",$0,$0
Chris Duarte,"$4,124,400","$5,893,768","$8,151,081",$0
Ochai Agbaji,"$4,114,200","$4,310,280","$6,383,525","$8,879,483"
Kobe Bufkin,"$4,094,244","$4,298,956","$4,503,668","$6,904,124"
Payton Pritchard,"$4,037,277","$5,959,021",$0,$0
Dwight Powell,"$4,000,000","$4,000,000","$4,000,000",$0
Troy Brown,"$4,000,000","$4,000,000",$0,$0
Seth Curry,"$4,000,000","$4,000,000",$0,$0
Moses Moody,"$3,918,480","$5,803,269","$8,072,347",$0
Mark Williams,"$3,908,160","$4,094,280","$6,276,531","$8,774,591"
Jaden McDaniels,"$3,901,399","$5,813,084",$0,$0
Keyonte George,"$3,889,776","$4,084,265","$4,278,754","$6,563,608"
Malachi Flynn,"$3,873,024","$5,809,537",$0,$0
