PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLAYER_NAME
202694,2017-18,00,1610612738,BOS,28.0,54,21,1442.0,262,611,0.429,86,234,0.368,124,154,0.805,43,246,289,72,35,12,65,100,734,Marcus Morris Sr.
202694,2018-19,00,1610612738,BOS,29.0,75,53,2091.0,377,844,0.447,146,389,0.375,146,173,0.844,76,382,458,109,43,25,92,181,1046,Marcus Morris Sr.
202694,2019-20,00,1610612752,NYK,30.0,43,43,1387.0,281,636,0.442,116,264,0.439,163,198,0.823,48,185,233,59,34,17,73,128,841,Marcus Morris Sr.
202694,2019-20,00,1610612746,LAC,30.0,19,19,549.0,74,174,0.425,26,84,0.31,18,22,0.818,11,67,78,27,13,13,24,52,192,Marcus Morris Sr.
202694,2019-20,00,0,TOT,30.0,62,62,1936.0,355,810,0.438,142,348,0.408,181,220,0.823,59,252,311,86,47,30,97,180,1033,Marcus Morris Sr.
202694,2020-21,00,1610612746,LAC,31.0,57,29,1502.0,276,584,0.473,140,296,0.473,73,89,0.82,35,199,234,58,34,15,57,117,765,Marcus Morris Sr.
202694,2021-22,00,1610612746,LAC,32.0,54,54,1564.0,300,691,0.434,101,275,0.367,129,148,0.872,26,213,239,113,28,18,69,115,830,Marcus Morris Sr.
202694,2022-23,00,1610612746,LAC,33.0,65,65,1825.0,274,643,0.426,112,308,0.364,68,87,0.782,29,229,258,114,42,21,56,136,728,Marcus Morris Sr.
1629001,2018-19,00,1610612756,PHX,21.0,50,31,984.0,100,256,0.391,29,95,0.305,21,28,0.75,25,109,134,159,68,23,75,113,250,De'Anthony Melton
1629001,2019-20,00,1610612763,MEM,22.0,60,8,1167.0,161,401,0.401,40,140,0.286,93,121,0.769,43,177,220,175,77,20,84,109,455,De'Anthony Melton
1629001,2020-21,00,1610612763,MEM,23.0,52,1,1045.0,172,393,0.438,87,211,0.412,41,51,0.804,30,131,161,132,60,31,66,85,472,De'Anthony Melton
1629001,2021-22,00,1610612763,MEM,24.0,73,15,1657.0,281,695,0.404,139,372,0.374,90,120,0.75,64,264,328,194,104,39,112,128,791,De'Anthony Melton
1629001,2022-23,00,1610612755,PHI,25.0,77,58,2150.0,277,651,0.425,157,403,0.39,69,87,0.793,69,243,312,197,126,41,102,191,780,De'Anthony Melton
202330,2010-11,00,1610612762,UTA,21.0,72,17,1218.0,142,293,0.485,35,74,0.473,69,97,0.711,41,98,139,81,30,19,70,106,388,Gordon Hayward
202330,2011-12,00,1610612762,UTA,22.0,66,58,2015.0,267,586,0.456,55,159,0.346,193,232,0.832,59,171,230,207,53,41,109,106,782,Gordon Hayward
202330,2012-13,00,1610612762,UTA,23.0,72,27,2104.0,336,773,0.435,102,246,0.415,243,294,0.827,51,174,225,213,58,38,120,125,1017,Gordon Hayward
202330,2013-14,00,1610612762,UTA,24.0,77,77,2800.0,426,1032,0.413,85,280,0.304,311,381,0.816,62,329,391,400,110,40,212,155,1248,Gordon Hayward
202330,2014-15,00,1610612762,UTA,25.0,76,76,2618.0,484,1087,0.445,120,330,0.364,375,462,0.812,54,319,373,313,108,30,206,131,1463,Gordon Hayward
202330,2015-16,00,1610612762,UTA,26.0,80,80,2893.0,521,1202,0.433,143,410,0.349,393,477,0.824,61,336,397,296,95,27,202,183,1578,Gordon Hayward
202330,2016-17,00,1610612762,UTA,27.0,73,73,2516.0,545,1156,0.471,149,374,0.398,362,429,0.844,49,345,394,252,73,20,140,117,1601,Gordon Hayward
202330,2017-18,00,1610612738,BOS,28.0,1,1,5.0,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,Gordon Hayward
202330,2018-19,00,1610612738,BOS,29.0,72,18,1863.0,296,635,0.466,77,231,0.333,156,187,0.834,51,271,322,244,62,23,105,104,825,Gordon Hayward
202330,2019-20,00,1610612738,BOS,30.0,52,52,1740.0,350,700,0.5,85,222,0.383,124,145,0.855,55,293,348,212,38,22,96,96,909,Gordon Hayward
202330,2020-21,00,1610612766,CHA,31.0,44,44,1496.0,311,658,0.473,85,205,0.415,156,185,0.843,37,221,258,181,52,14,91,74,863,Gordon Hayward
202330,2021-22,00,1610612766,CHA,32.0,49,48,1564.0,283,617,0.459,86,220,0.391,126,149,0.846,38,186,224,177,47,22,81,85,778,Gordon Hayward
202330,2022-23,00,1610612766,CHA,33.0,50,50,1577.0,276,581,0.475,52,160,0.325,129,159,0.811,33,182,215,206,42,12,99,70,733,Gordon Hayward
1630223,2020-21,00,1610612761,TOR,22.0,13,2,172.0,36,72,0.5,17,36,0.472,7,9,0.778,3,15,18,17,8,0,14,15,96,Xavier Tillman
1628420,2017-18,00,1610612743,DEN,23.0,3,0,25.0,4,6,0.667,0,1,0.0,2,2,1.0,0,2,2,7,3,0,1,1,10,Monte Morris
1628420,2018-19,00,1610612743,DEN,24.0,82,6,1970.0,346,702,0.493,94,227,0.414,65,81,0.802,35,159,194,297,73,4,52,102,851,Monte Morris
1628420,2019-20,00,1610612743,DEN,25.0,73,12,1637.0,260,566,0.459,65,172,0.378,75,89,0.843,24,113,137,255,55,17,53,73,660,Monte Morris
1628420,2020-21,00,1610612743,DEN,26.0,47,13,1196.0,186,387,0.481,51,134,0.381,58,73,0.795,11,85,96,150,34,13,34,48,481,Monte Morris
1628420,2021-22,00,1610612743,DEN,27.0,75,74,2239.0,374,773,0.484,124,314,0.395,73,84,0.869,27,199,226,333,56,14,78,92,945,Monte Morris
1628420,2022-23,00,1610612764,WAS,28.0,62,61,1696.0,247,515,0.48,78,204,0.382,64,77,0.831,26,184,210,326,43,13,60,75,636,Monte Morris
1628365,2017-18,00,1610612755,PHI,20.0,14,0,253.0,45,111,0.405,0,1,0.0,10,21,0.476,11,32,43,53,12,4,17,22,100,Markelle Fultz
1628365,2018-19,00,1610612755,PHI,21.0,19,15,427.0,65,155,0.419,4,14,0.286,21,37,0.568,26,44,70,59,17,5,25,52,155,Markelle Fultz
1628365,2019-20,00,1610612753,ORL,22.0,72,60,1996.0,359,772,0.465,36,135,0.267,116,159,0.73,41,197,238,369,90,11,147,142,870,Markelle Fultz
1628365,2020-21,00,1610612753,ORL,23.0,8,8,215.0,41,104,0.394,4,16,0.25,17,19,0.895,5,20,25,43,8,2,18,18,103,Markelle Fultz
1628365,2021-22,00,1610612753,ORL,24.0,18,3,360.0,83,175,0.474,4,17,0.235,25,31,0.806,4,45,49,99,20,5,40,22,195,Markelle Fultz
1628365,2022-23,00,1610612753,ORL,25.0,60,60,1778.0,349,679,0.514,27,87,0.31,112,143,0.783,69,165,234,341,87,26,139,131,837,Markelle Fultz
1629652,2019-20,00,1610612760,OKC,21.0,36,28,820.0,86,218,0.394,30,101,0.297,42,53,0.792,24,57,81,27,31,4,22,97,244,Lamar Stevens
1629652,2020-21,00,1610612760,OKC,22.0,52,52,1543.0,247,639,0.387,113,329,0.343,122,164,0.744,38,151,189,88,45,19,79,134,729,Lamar Stevens
1629652,2021-22,00,1610612760,OKC,23.0,51,51,1665.0,293,726,0.404,130,391,0.332,161,191,0.843,38,174,212,88,46,18,88,149,877,Lamar Stevens
1629652,2022-23,00,1610612760,OKC,24.0,74,73,2272.0,339,873,0.388,135,409,0.33,200,259,0.772,128,216,344,154,75,23,92,243,1013,Lamar Stevens
