259,Mickael Pietrus,"$1,527,946 ","$2,464,601 "
260,Malik Allen,"$1,510,000 ","$2,435,653 "
261,Troy Murphy,"$1,506,960 ","$2,430,750 "
262,Fred Jones,"$1,506,000 ","$2,429,201 "
263,Jake Voskuhl,"$1,500,000 ","$2,419,523 "
263,Tyronn Lue,"$1,500,000 ","$2,419,523 "
263,Erick Strickland,"$1,500,000 ","$2,419,523 "
263,Brian Skinner,"$1,500,000 ","$2,419,523 "
263,Karl Malone,"$1,500,000 ","$2,419,523 "
263,Mark Jackson,"$1,500,000 ","$2,419,523 "
263,Jumaine Jones,"$1,500,000 ","$2,419,523 "
270,Marcus Banks,"$1,499,400 ","$2,418,555 "
271,Manu Ginobili,"$1,457,500 ","$2,350,970 "
272,Steven Hunter,"$1,431,600 ","$2,309,193 "
273,Luke Ridnour,"$1,424,400 ","$2,297,579 "
274,Bostjan Nachbar,"$1,396,440 ","$2,252,479 "
275,Kirk Haston,"$1,360,080 ","$2,193,830 "
276,Reece Gaines,"$1,353,120 ","$2,182,603 "
277,Earl Watson,"$1,336,500 ","$2,155,795 "
278,Jiri Welsch,"$1,326,600 ","$2,139,826 "
279,Bryce Drew,"$1,300,000 ","$2,096,920 "
280,Michael Bradley,"$1,292,040 ","$2,084,080 "
281,Troy Bell,"$1,285,440 ","$2,073,435 "
282,Juan Dixon,"$1,260,360 ","$2,032,980 "
283,Jarron Collins,"$1,250,000 ","$2,016,269 "
283,Ryan Bowen,"$1,250,000 ","$2,016,269 "
285,Jason Collins,"$1,227,480 ","$1,979,944 "
286,Zarko Cabarkapa,"$1,221,240 ","$1,969,879 "
287,Daniel Santiago,"$1,200,000 ","$1,935,618 "
287,Voshon Lenard,"$1,200,000 ","$1,935,618 "
287,Walter McCarty,"$1,200,000 ","$1,935,618 "
290,Curtis Borchardt,"$1,187,240 ","$1,915,036 "
291,Zach Randolph,"$1,172,160 ","$1,890,712 "
292,Chris Childs,"$1,166,667 ","$1,881,852 "
293,David West,"$1,160,160 ","$1,871,356 "
294,Ryan Humphrey,"$1,143,360 ","$1,844,257 "
295,Jeryl Sasser,"$1,125,729 ","$1,815,818 "
296,Brendan Haywood,"$1,125,360 ","$1,815,223 "
297,Aleksandar Pavlovic,"$1,107,960 ","$1,787,156 "
298,Mehmet Okur,"$1,100,000 ","$1,774,317 "
299,Kareem Rush,"$1,097,640 ","$1,770,510 "
300,Joseph Forte,"$1,080,360 ","$1,742,637 "
301,Chris Whitney,"$1,070,000 ","$1,725,926 "
301,Kevin Willis,"$1,070,000 ","$1,725,926 "
301,Tony Massenburg,"$1,070,000 ","$1,725,926 "
301,Anthony Peeler,"$1,070,000 ","$1,725,926 "
301,Scott Williams,"$1,070,000 ","$1,725,926 "
301,Steve Smith,"$1,070,000 ","$1,725,926 "
301,Sean Rooks,"$1,070,000 ","$1,725,926 "
301,Horace Grant,"$1,070,000 ","$1,725,926 "
301,Bryon Russell,"$1,070,000 ","$1,725,926 "
301,Olden Polynice,"$1,070,000 ","$1,725,926 "
301,Kenny Anderson,"$1,070,000 ","$1,725,926 "
301,Popeye Jones,"$1,070,000 ","$1,725,926 "
301,Calbert Cheaney,"$1,070,000 ","$1,725,926 "
301,Kendall Gill,"$1,070,000 ","$1,725,926 "
315,Dahntay Jones,"$1,063,680 ","$1,715,732 "
316,Qyntel Woods,"$1,053,720 ","$1,699,666 "
317,Boris Diaw,"$1,021,080 ","$1,647,018 "
318,Casey Jacobsen,"$1,011,600 ","$1,631,726 "
319,Monty Williams,"$1,000,000 ","$1,613,015 "
319,Stephen Jackson,"$1,000,000 ","$1,613,015 "
319,Dion Glover,"$1,000,000 ","$1,613,015 "
322,Brandon Armstrong,"$995,650 ","$1,605,999 "
323,Zoran Planinic,"$980,280 ","$1,581,207 "
324,Efthimios Rentzias,"$971,160 ","$1,566,496 "
324,Tayshaun Prince,"$971,160 ","$1,566,496 "
326,Robert Pack,"$965,610 ","$1,557,544 "
327,Andrei Kirilenko,"$955,800 ","$1,541,720 "
328,Mark Blount,"$944,922 ","$1,524,174 "
329,Travis Outlaw,"$941,040 ","$1,517,912 "
330,Gary Trent,"$938,679 ","$1,514,104 "
330,Fred Hoiberg,"$938,679 ","$1,514,104 "
330,Travis Best,"$938,679 ","$1,514,104 "
333,Gerald Wallace,"$917,520 ","$1,479,974 "
