Travis Outlaw,"$4,000,000 ","$5,416,648 "
Kwame Brown,"$4,000,000 ","$5,416,648 "
Zaza Pachulia,"$4,000,000 ","$5,416,648 "
Antonio McDyess,"$3,950,419 ","$5,349,507 "
OJ Mayo,"$3,875,040 ","$5,247,432 "
Steven Hunter,"$3,862,600 ","$5,230,586 "
Delonte West,"$3,850,000 ","$5,213,524 "
Martell Webster,"$3,771,133 ","$5,106,725 "
Tyrus Thomas,"$3,749,880 ","$5,077,945 "
CJ Miles,"$3,700,000 ","$5,010,400 "
Daniel Gibson,"$3,700,000 ","$5,010,400 "
Amir Johnson,"$3,666,667 ","$4,965,261 "
Ryan Gomes,"$3,650,000 ","$4,942,692 "
Mike Conley,"$3,630,480 ","$4,916,258 "
Rasual Butler,"$3,630,000 ","$4,915,608 "
DeShawn Stevenson,"$3,616,072 ","$4,896,747 "
Fabricio Oberto,"$3,600,000 ","$4,874,983 "
Robert Swift,"$3,579,131 ","$4,846,723 "
Roger Mason,"$3,500,000 ","$4,739,567 "
Brian Cook,"$3,500,000 ","$4,739,567 "
Russell Westbrook,"$3,493,680 ","$4,731,009 "
Charlie Villanueva,"$3,448,050 ","$4,669,218 "
Shelden Williams,"$3,395,760 ","$4,598,409 "
Willie Green,"$3,388,000 ","$4,587,901 "
Charlie Bell,"$3,354,480 ","$4,542,509 "
Keyon Dooling,"$3,300,000 ","$4,468,735 "
Jeff Green,"$3,287,640 ","$4,451,997 "
Eduardo Najera,"$3,250,000 ","$4,401,027 "
Chucky Atkins,"$3,240,000 ","$4,387,485 "
Brian Scalabrine,"$3,206,897 ","$4,342,658 "
Kris Humphries,"$3,200,000 ","$4,333,319 "
Channing Frye,"$3,163,769 ","$4,284,256 "
Kevin Love,"$3,163,680 ","$4,284,135 "
Luis Scola,"$3,100,667 ","$4,198,806 "
Damien Wilkins,"$3,100,000 ","$4,197,902 "
Trevor Ariza,"$3,100,000 ","$4,197,902 "
Marc Gasol,"$3,093,333 ","$4,188,874 "
Brandon Roy,"$3,084,240 ","$4,176,561 "
Carl Landry,"$3,000,000 ","$4,062,486 "
Matt Bonner,"$2,987,000 ","$4,044,882 "
Yi Jianlian,"$2,986,080 ","$4,043,636 "
Ike Diogu,"$2,912,823 ","$3,944,434 "
Kelenna Azubuike,"$2,900,000 ","$3,927,070 "
Danilo Gallinari,"$2,873,520 ","$3,891,212 "
Didier Ilunga-Mbenga,"$2,852,599 ","$3,862,880 "
Randy Foye,"$2,815,560 ","$3,812,724 "
Andrew Bynum,"$2,769,300 ","$3,750,081 "
Andray Blatche,"$2,739,669 ","$3,709,956 "
Corey Brewer,"$2,725,920 ","$3,691,337 "
Sean May,"$2,661,027 ","$3,603,462 "
Eddie House,"$2,650,000 ","$3,588,529 "
Mark Madsen,"$2,630,000 ","$3,561,446 "
Eric Gordon,"$2,623,200 ","$3,552,238 "
Rashad McCants,"$2,620,126 ","$3,548,075 "
Dorell Wright,"$2,612,835 ","$3,538,202 "
Rudy Gay,"$2,579,400 ","$3,492,925 "
Keith Bogans,"$2,565,000 ","$3,473,426 "
Jackie Butler,"$2,552,000 ","$3,455,821 "
Michael Finley,"$2,500,000 ","$3,385,405 "
Craig Smith,"$2,500,000 ","$3,385,405 "
Chris Mihm,"$2,500,000 ","$3,385,405 "
Tony Allen,"$2,500,000 ","$3,385,405 "
Maurice Evans,"$2,500,000 ","$3,385,405 "
Brandan Wright,"$2,497,320 ","$3,381,776 "
Jason Hart,"$2,484,000 ","$3,363,738 "
Joey Graham,"$2,449,184 ","$3,316,592 "
Joe Alexander,"$2,403,120 ","$3,254,214 "
Danny Granger,"$2,329,805 ","$3,154,933 "
Damon Stoudamire,"$2,325,000 ","$3,148,427 "
Sebastian Telfair,"$2,300,000 ","$3,114,573 "
Ricky Davis,"$2,300,000 ","$3,114,573 "
Joakim Noah,"$2,295,480 ","$3,108,452 "
Maceo Baston,"$2,272,860 ","$3,077,821 "
Saer Sene,"$2,252,400 ","$3,050,114 "
Tyronn Lue,"$2,250,000 ","$3,046,864 "
DJ Augustin,"$2,208,960 ","$2,991,290 "
Spencer Hawes,"$2,180,760 ","$2,953,102 "
JJ Redick,"$2,139,720 ","$2,897,527 "
Hakim Warrick,"$2,119,102 ","$2,869,607 "
Brook Lopez,"$2,098,560 ","$2,841,790 "
Jarron Collins,"$2,074,302 ","$2,808,941 "
Acie Law,"$2,071,680 ","$2,805,390 "
Hilton Armstrong,"$2,032,800 ","$2,752,740 "
Nate Robinson,"$2,020,179 ","$2,735,650 "
Jarrett Jack,"$2,002,623 ","$2,711,876 "
Brevin Knight,"$2,000,000 ","$2,708,324 "
Eddie Jones,"$2,000,000 ","$2,708,324 "
Walter Herrmann,"$2,000,000 ","$2,708,324 "
Jerryd Bayless,"$1,993,560 ","$2,699,603 "
Francisco Garcia,"$1,983,454 ","$2,685,918 "
Grant Hill,"$1,976,400 ","$2,676,366 "
Thaddeus Young,"$1,968,120 ","$2,665,153 "
Luther Head,"$1,962,378 ","$2,657,378 "
Johan Petro,"$1,939,893 ","$2,626,929 "
Thabo Sefolosha,"$1,931,160 ","$2,615,103 "
Anthony Johnson,"$1,910,000 ","$2,586,449 "
Brent Barry,"$1,910,000 ","$2,586,449 "
Jarvis Hayes,"$1,910,000 ","$2,586,449 "
Jason Thompson,"$1,893,840 ","$2,564,566 "
Jason Maxiell,"$1,877,572 ","$2,542,537 "
Julian Wright,"$1,869,600 ","$2,531,741 "
Ronnie Brewer,"$1,834,680 ","$2,484,454 "
Linas Kleiza,"$1,824,493 ","$2,470,659 "
Antoine Wright,"$1,800,000 ","$2,437,491 "
Brandon Rush,"$1,799,160 ","$2,436,354 "
David Lee,"$1,788,033 ","$2,421,286 "
Al Thornton,"$1,776,240 ","$2,405,317 "
Chuck Hayes,"$1,768,000 ","$2,394,158 "
Cedric Simmons,"$1,742,760 ","$2,359,979 "
Adrian Griffin,"$1,711,000 ","$2,316,971 "
Anthony Randolph,"$1,709,280 ","$2,314,642 "
Goran Dragic,"$1,700,000 ","$2,302,075 "
Francisco Elson,"$1,700,000 ","$2,302,075 "
Rodney Stuckey,"$1,687,320 ","$2,284,904 "
Smush Parker,"$1,660,000 ","$2,247,909 "
Rodney Carney,"$1,655,760 ","$2,242,167 "
Robin Lopez,"$1,623,720 ","$2,198,780 "
